firstName,lastName,programmeOfStudy,college,summary,dateOfBirth
Betty,Price,bprice0@home.pl,Thailand,3.117.168.0,7/4/1990
Lori,Howard,lhoward1@tamu.edu,Ukraine,2.28.186.37,4/29/1989
Jeffrey,Snyder,jsnyder2@goodreads.com,Indonesia,171.238.179.251,11/1/1990
Kathleen,Allen,kallen3@google.it,Sweden,61.116.71.249,8/24/1990
Craig,Day,cday4@comcast.net,Canada,84.226.40.96,9/4/1988
Martin,Ellis,mellis5@reference.com,China,202.98.225.172,6/23/1988
Joyce,Diaz,jdiaz6@goo.ne.jp,Indonesia,30.119.211.204,7/7/1990
Phyllis,Graham,pgraham7@abc.net.au,Russia,210.245.234.190,3/18/1988
Norma,Daniels,ndaniels8@mediafire.com,Mexico,190.49.156.56,6/14/1989
Johnny,Dunn,jdunn9@vistaprint.com,China,200.222.103.106,10/23/1988
Carolyn,Carroll,ccarrolla@webnode.com,Dominican Republic,4.27.219.82,4/26/1989
Shawn,Tucker,stuckerb@1688.com,Thailand,151.52.198.10,10/5/1988
William,Meyer,wmeyerc@pen.io,China,182.206.76.247,2/10/1989
Adam,Price,apriced@phpbb.com,Niger,236.230.41.107,2/28/1989
Robert,Mills,rmillse@answers.com,China,221.104.250.239,9/2/1989
Eric,Wagner,ewagnerf@sphinn.com,China,9.48.83.127,7/12/1988
Patricia,Duncan,pduncang@artisteer.com,Indonesia,75.82.113.86,9/17/1988
Clarence,Stanley,cstanleyh@51.la,Venezuela,116.186.129.188,12/25/1989
Jose,Hunt,jhunti@jalbum.net,Philippines,193.125.141.85,6/13/1988
Walter,Hunter,whunterj@nifty.com,Poland,150.130.10.82,2/6/1990
Frank,Roberts,frobertsk@oracle.com,Indonesia,20.234.86.81,4/8/1989
Andrew,Simpson,asimpsonl@creativecommons.org,China,162.148.105.97,9/18/1988
Angela,Martinez,amartinezm@statcounter.com,France,162.170.134.210,6/22/1990
Gloria,Stone,gstonen@istockphoto.com,Philippines,179.196.4.255,12/21/1989
Anna,Watson,awatsono@technorati.com,China,156.139.122.58,4/28/1988
Brandon,Hayes,bhayesp@nifty.com,Indonesia,100.35.11.67,7/7/1989
Elizabeth,Burns,eburnsq@cnet.com,Croatia,161.39.214.80,11/10/1988
Kathryn,Hart,khartr@telegraph.co.uk,Russia,171.136.140.14,3/14/1989
Arthur,Andrews,aandrewss@thetimes.co.uk,Iran,109.236.176.153,4/9/1989
Peter,Parker,pparkert@weebly.com,Indonesia,171.249.28.154,9/23/1990
Joan,Reynolds,jreynoldsu@hexun.com,Poland,80.96.106.138,4/15/1989
Pamela,Larson,plarsonv@rambler.ru,Sweden,136.93.16.25,1/19/1990
Kathryn,Rogers,krogersw@cbc.ca,Indonesia,165.209.191.202,2/20/1991
Brenda,Gonzalez,bgonzalezx@ask.com,Russia,3.194.253.58,9/26/1988
Dorothy,Kelley,dkelleyy@google.it,China,211.212.5.50,8/22/1990
Douglas,Howard,dhowardz@hibu.com,Indonesia,178.152.150.42,4/6/1988
Juan,Evans,jevans10@cargocollective.com,China,79.181.69.122,2/18/1989
Fred,Richards,frichards11@acquirethisname.com,Ireland,201.139.238.210,5/7/1988
Tina,Rose,trose12@clickbank.net,Indonesia,43.95.57.210,1/28/1990
Gary,Turner,gturner13@yandex.ru,Uganda,20.123.235.123,11/5/1989
Andrew,Cunningham,acunningham14@arstechnica.com,France,190.152.192.153,1/24/1991
Todd,Lynch,tlynch15@abc.net.au,China,62.235.68.239,3/31/1989
Ruth,Banks,rbanks16@fotki.com,Kazakhstan,178.117.189.191,8/27/1988
Todd,Sims,tsims17@t.co,Brazil,135.173.73.148,2/25/1990
Paula,Kennedy,pkennedy18@gizmodo.com,Spain,36.128.247.95,12/30/1990
Janet,Fowler,jfowler19@comcast.net,Portugal,195.55.189.55,9/16/1990
Eric,Rogers,erogers1a@craigslist.org,Indonesia,62.111.248.228,6/3/1989
Evelyn,Simmons,esimmons1b@ucsd.edu,Sweden,56.249.97.208,6/27/1988
Michelle,Hanson,mhanson1c@sohu.com,Brazil,253.152.157.166,7/29/1988
Ashley,Richardson,arichardson1d@wikipedia.org,China,113.104.46.54,5/8/1988
Antonio,Burton,aburton1e@icq.com,Russia,71.81.17.95,10/7/1988
Marilyn,Schmidt,mschmidt1f@globo.com,Zimbabwe,251.143.206.232,11/4/1989
Michelle,Ross,mross1g@statcounter.com,South Korea,85.255.195.73,7/9/1989
Kathleen,Burke,kburke1h@symantec.com,South Korea,203.206.117.161,12/26/1988
Beverly,Parker,bparker1i@pen.io,Indonesia,129.52.164.57,8/28/1990
Antonio,Howard,ahoward1j@creativecommons.org,Russia,193.26.223.251,5/10/1989
Billy,Hart,bhart1k@bluehost.com,Russia,57.17.30.133,11/1/1989
